ticker,primary_etf,direct_long_etf,direct_inverse_etf,mapping_note
AAP,XLV.US,,,health_care_current_proxy
ABMD,XLV.US,,,health_care_current_proxy
AES,XLU.US,,,utilities_current_proxy
ALGN,XLV.US,,,health_care_current_proxy
AMZN,XLY.US,,,consumer_discretionary_current_proxy
AMD,SMH.US,AMDL.US,DAMD.US,semiconductor
ANET,XLK.US,ANEL.US,,technology
BBWI,XLY.US,,,consumer_discretionary
BLL,XLB.US,,,materials
CMG,XLY.US,CMGG.US,,consumer_discretionary
DVN,XLE.US,,,energy
DXCM,XLV.US,,,health_care
ETSY,XLY.US,,,consumer_discretionary
FCX,XLB.US,FCXG.US,,materials
FICO,XLF.US,,,financials_proxy
FSLR,XLI.US,,,industrial_solar_proxy
GNRC,XLI.US,,,industrial
GPS,XLY.US,,,consumer_discretionary
GWW,XLI.US,,,industrial
HOOD,XLF.US,HOOG.US,HOOZ.US,financials
HRL,XLP.US,,,consumer_staples
KEYS,XLK.US,KEYG.US,,technology
KLAC,SMH.US,KLAG.US,,semiconductor
LRCX,SMH.US,LRCU.US,,semiconductor
MCK,XLV.US,,,health_care
META,XLC.US,METU.US,METD.US,communication_services
MKTX,XLF.US,,,financials
MPC,XLE.US,,,energy
MRNA,XLV.US,MRNX.US,,health_care
MU,DRAM.US,MUU.US,MUD.US,memory_theme
NFLX,XLC.US,NFXL.US,NFXS.US,communication_services
NLOK,XLK.US,,,technology_legacy
NVDA,SMH.US,NVDL.US,NVD.US,semiconductor
OXY,XLE.US,,,energy
PLTR,XLK.US,PLTU.US,PLTD.US,technology
RCL,XLY.US,,,consumer_discretionary
RHT,XLK.US,,,technology_legacy
SMCI,SMH.US,SMCX.US,SMCZ.US,semiconductor
SNDK,DRAM.US,SNXX.US,SNDQ.US,memory_theme
STX,DRAM.US,,,memory_theme
STLD,XLB.US,,,materials
TDG,XLI.US,,,industrial
TPR,XLY.US,,,consumer_discretionary
TSLA,XLY.US,TSLL.US,TSLQ.US,consumer_discretionary
TSN,XLP.US,,,consumer_staples
VST,XLU.US,VSTL.US,,utilities
WDC,DRAM.US,WDCX.US,,memory_theme
XLNX,SMH.US,,,semiconductor_legacy
CARR,XHB.US,,,user_reviewed_homebuilders_industry_proxy
CEG,NLR.US,,,user_reviewed_nuclear_energy_industry_proxy
EW,IHI.US,,,user_reviewed_medical_devices_industry_proxy
HFC,CRAK.US,,,user_reviewed_oil_refiners_industry_proxy
KKR,PSP.US,,,user_reviewed_private_equity_industry_proxy
ODFL,IYT.US,,,user_reviewed_transportation_industry_proxy
SIVB,IAT.US,,,user_reviewed_regional_banks_industry_proxy
TGT,RTH.US,,,user_reviewed_retail_industry_proxy
PHM,XLY.US,,,consumer_discretionary_historical_proxy
ENPH,XLK.US,,,information_technology_historical_proxy
CTRA,XLE.US,,,energy_historical_proxy
COP,XLE.US,,,energy_historical_proxy
UBER,XLI.US,,,industrials_historical_proxy
NRG,XLU.US,,,utilities_historical_proxy
AZO,RTH.US,,,user_reviewed_retail_industry_proxy
NEM,RING.US,,,user_reviewed_gold_miners_industry_proxy
REGN,IBB.US,,,user_reviewed_biotechnology_industry_proxy
VIAC,PBS.US,,,user_reviewed_media_industry_proxy
VLO,CRAK.US,,,user_reviewed_oil_refiners_industry_proxy
AVGO,SOXX.US,,,user_reviewed_semiconductor_industry_proxy
HWM,ITA.US,,,user_reviewed_aerospace_defense_industry_proxy
GEV,GRID.US,,,user_reviewed_smart_grid_industry_proxy
DLTR,XLY.US,,,consumer_discretionary_historical_proxy
INTC,SOXX.US,,,semiconductor_historical_proxy
BXLT,IBB.US,,,user_reviewed_biotechnology_historical_proxy_before_2016-06-03
AWK,PHO.US,,,user_reviewed_water_infrastructure_industry_proxy
AMAT,SOXX.US,,,user_reviewed_semiconductor_equipment_industry_proxy
OKE,EMLP.US,,,user_reviewed_energy_infrastructure_industry_proxy
CSX,IYT.US,,,user_reviewed_rail_transportation_industry_proxy
WYNN,BJK.US,,,user_reviewed_gaming_industry_historical_proxy
BA,ITA.US,,,user_reviewed_aerospace_defense_industry_proxy
NTAP,SKYY.US,,,user_reviewed_cloud_data_infrastructure_industry_proxy
KORS,XRT.US,,,user_reviewed_specialty_retail_historical_proxy
KSS,XRT.US,,,user_reviewed_department_store_retail_proxy
HCA,IHF.US,,,user_reviewed_healthcare_providers_industry_proxy
MKC,PBJ.US,,,user_reviewed_food_beverage_industry_proxy
CDNS,IGV.US,,,user_reviewed_software_industry_proxy
SBUX,PEJ.US,,,user_reviewed_restaurants_leisure_industry_proxy
AAPL,IYW.US,,,user_reviewed_us_technology_hardware_proxy
IVZ,KCE.US,,,user_reviewed_capital_markets_industry_proxy
NUE,SLX.US,,,user_reviewed_steel_industry_proxy
FANG,XOP.US,,,user_reviewed_oil_gas_exploration_industry_proxy
MRO,XOP.US,,,user_reviewed_oil_gas_exploration_industry_proxy
CF,MOO.US,,,user_reviewed_fertilizer_agribusiness_industry_proxy
VRTX,IBB.US,,,user_reviewed_biotechnology_industry_proxy
PWR,PAVE.US,,,user_reviewed_infrastructure_industry_proxy
LW,PBJ.US,,,user_reviewed_packaged_food_industry_proxy
LVS,BJK.US,,,user_reviewed_gaming_industry_historical_proxy
LLY,IHE.US,,,user_reviewed_pharmaceuticals_industry_proxy
PANW,CIBR.US,,,user_reviewed_cybersecurity_industry_proxy
