ticker,primary_etf,effective_from,effective_to,status,mapping_note
ARNC,ITA.US,,2020-03-31,approved,user_reviewed_legacy_arconic_aerospace_proxy
ARNC,XME.US,2020-04-01,,approved,user_reviewed_new_arconic_aluminum_metals_proxy
CPRI,XRT.US,2019-01-02,,approved,user_reviewed_successor_to_kors_retail_proxy
GE,PPA.US,2023-01-01,2023-12-31,approved,user_reviewed_combined_ge_aerospace_industrial_proxy
QRVO,SOXX.US,2019-11-11,2020-01-21,approved,user_reviewed_semiconductor_industry_proxy
FTNT,CIBR.US,2021-07-12,2021-09-20,approved,user_reviewed_cybersecurity_industry_proxy
CAH,IHF.US,2022-08-15,2023-02-06,approved,user_reviewed_healthcare_providers_industry_proxy
M,XRT.US,2018-04-05,2018-08-15,approved,user_reviewed_department_store_retail_proxy
AXON,XAR.US,2023-12-20,2024-12-16,approved,user_reviewed_aerospace_defense_industry_proxy
ADBE,IGV.US,2023-10-16,2023-11-27,approved,user_reviewed_software_industry_proxy
MMM,XLI.US,2024-08-01,2024-09-16,approved,user_reviewed_broad_industrials_proxy
ATVI,PBS.US,2016-01-04,2017-06-20,approved,user_reviewed_media_industry_proxy
CPRI,,2017-12-01,2019-01-01,excluded,user_reviewed_invalid_pre_2019_ticker_identity
DISCA,PBS.US,2018-10-15,2021-04-05,approved,user_reviewed_media_industry_proxy
URI,PKB.US,2017-03-01,2023-03-01,approved,user_reviewed_building_construction_industry_proxy
COTY,RHS.US,2019-05-15,2019-07-10,approved,user_reviewed_consumer_staples_industry_proxy
HES,IEO.US,2022-11-01,2023-01-26,approved,user_reviewed_oil_gas_exploration_industry_proxy
IRM,SRVR.US,2024-08-05,2024-11-05,approved,user_reviewed_data_infrastructure_real_estate_proxy
HSY,PBJ.US,2019-07-26,2019-10-01,approved,user_reviewed_food_beverage_industry_proxy
APA,XOP.US,2020-01-15,2022-06-21,approved,user_reviewed_oil_gas_exploration_industry_proxy
SLB,OIH.US,2023-01-03,2023-02-15,approved,user_reviewed_oil_services_industry_proxy
IT,XSW.US,2021-09-10,2021-10-01,approved,user_reviewed_software_industry_proxy
MOS,MOO.US,2021-04-26,2022-04-20,approved,user_reviewed_fertilizer_agribusiness_industry_proxy
ALB,LIT.US,2020-11-20,2022-09-15,approved,user_reviewed_lithium_battery_industry_proxy
ARG,IYM.US,2016-02-05,2016-04-26,approved,user_reviewed_basic_materials_industry_proxy
HAS,PEJ.US,2019-09-16,2019-10-21,approved,user_reviewed_leisure_entertainment_industry_proxy
GILD,IBB.US,2020-03-20,2023-02-10,approved,user_reviewed_biotechnology_industry_proxy
WMB,ENFR.US,2016-08-26,2016-10-17,approved,user_reviewed_energy_infrastructure_industry_proxy
ABBV,IHE.US,2018-02-01,2022-03-07,approved,user_reviewed_pharmaceuticals_industry_proxy
TRIP,PEJ.US,2018-06-26,2019-02-05,approved,user_reviewed_leisure_entertainment_industry_proxy
WST,IHI.US,2020-07-27,2020-08-20,approved,user_reviewed_medical_devices_industry_proxy
GDDY,FDN.US,2024-09-05,2024-09-10,approved,user_reviewed_internet_industry_proxy
NKTR,XBI.US,2018-05-21,2018-05-21,approved,user_reviewed_biotechnology_industry_proxy
DHR,IHI.US,2016-07-11,2016-09-15,approved,user_reviewed_medical_devices_industry_proxy
KR,PBJ.US,2020-03-20,2020-04-06,approved,user_reviewed_food_beverage_industry_proxy
WRK,WOOD.US,2023-12-01,2024-01-05,approved,user_reviewed_forest_products_industry_proxy
HRB,IYC.US,2017-07-03,2017-08-07,approved,user_reviewed_consumer_services_proxy
ANDV,CRAK.US,2018-08-01,2018-08-20,approved,user_reviewed_oil_refiners_industry_proxy
FDX,IYT.US,2020-09-15,2020-12-01,approved,user_reviewed_transportation_industry_proxy
PYPL,IPAY.US,2017-07-17,2020-09-01,approved,user_reviewed_payments_industry_proxy
MAT,PEJ.US,2016-02-05,2016-04-20,approved,user_reviewed_leisure_entertainment_industry_proxy
XRX,XTH.US,2019-05-20,2019-07-10,approved,user_reviewed_technology_industry_proxy
DFS,IPAY.US,2021-08-05,2021-08-10,approved,user_reviewed_payments_industry_proxy
CPRT,IYT.US,2019-07-22,2020-02-05,approved,user_reviewed_transportation_industry_proxy
EPAM,XSW.US,2022-08-01,2022-09-12,approved,user_reviewed_software_services_industry_proxy
TIF,XRT.US,2019-12-10,2020-02-26,approved,user_reviewed_specialty_retail_industry_proxy
TSS,IPAY.US,2019-06-03,2019-09-16,approved,user_reviewed_payments_industry_proxy
ULTA,RTH.US,2016-07-20,2023-02-06,approved,user_reviewed_specialty_retail_industry_proxy
VTR,REZ.US,2024-09-05,2024-09-10,approved,user_reviewed_healthcare_residential_reit_proxy
CCL,PEJ.US,2021-04-12,2023-08-28,approved,user_reviewed_leisure_travel_industry_proxy
EQIX,ICF.US,2016-02-05,2020-04-01,approved,user_reviewed_us_reit_industry_proxy
K,PBJ.US,2024-08-15,2024-09-10,approved,user_reviewed_food_beverage_industry_proxy
QCOM,SOXX.US,2019-07-05,2020-10-15,approved,user_reviewed_semiconductor_industry_proxy
SWN,XOP.US,2016-05-20,2016-09-12,approved,user_reviewed_oil_gas_exploration_industry_proxy
ZION,IAT.US,2023-10-05,2024-01-10,approved,user_reviewed_regional_banks_industry_proxy
ACGL,IAK.US,2023-02-10,2023-02-27,approved,user_reviewed_insurance_industry_proxy
BIIB,IBB.US,2020-03-16,2023-02-06,approved,user_reviewed_biotechnology_industry_proxy
CINF,IAK.US,2019-09-16,2019-10-21,approved,user_reviewed_insurance_industry_proxy
GPC,FTXR.US,2022-08-05,2022-11-28,approved,user_reviewed_transportation_industry_proxy
PCG,XLU.US,2022-12-05,2023-02-27,approved,user_reviewed_utilities_industry_proxy
SWKS,SOXX.US,2020-01-21,2020-02-03,approved,user_reviewed_semiconductor_industry_proxy
CHK,XOP.US,2016-08-10,2016-10-20,approved,user_reviewed_oil_gas_exploration_industry_proxy
GE,PPA.US,2024-04-22,2024-04-22,approved,user_reviewed_ge_aerospace_industry_proxy
ROL,,2020-09-15,2020-10-20,excluded,user_reviewed_no_direct_historical_industry_etf
BAC,KBWB.US,2017-03-10,2017-03-10,approved,user_reviewed_us_banks_industry_proxy
CI,IHF.US,2022-09-20,2022-10-05,approved,user_reviewed_healthcare_providers_industry_proxy
IDXX,PAWZ.US,2020-11-16,2020-11-20,approved,user_reviewed_pet_care_industry_proxy
ILMN,ARKG.US,2018-09-04,2018-10-05,approved,user_reviewed_genomics_industry_proxy
NOC,ITA.US,2019-09-26,2019-10-01,approved,user_reviewed_aerospace_defense_industry_proxy
TRGP,MLPX.US,2024-12-02,2024-12-10,approved,user_reviewed_midstream_energy_infrastructure_proxy
CBRE,XLRE.US,2024-11-05,2024-11-05,approved,user_reviewed_real_estate_industry_proxy
COF,KBWB.US,2021-05-03,2021-05-03,approved,user_reviewed_us_banks_industry_proxy
DG,RTH.US,2019-10-07,2019-10-10,approved,user_reviewed_large_retail_industry_proxy
F,CARZ.US,2022-01-18,2022-01-18,approved,user_reviewed_automotive_industry_proxy
GAS,XLU.US,2016-01-11,2016-02-05,approved,user_reviewed_regulated_utility_proxy
GMCR,PBJ.US,2016-01-11,2016-01-26,approved,user_reviewed_food_beverage_industry_proxy
JWN,XRT.US,2018-10-26,2018-11-01,approved,user_reviewed_retail_industry_proxy
KMX,XRT.US,2019-07-26,2019-08-05,approved,user_reviewed_retail_industry_proxy
MTB,IAT.US,2022-09-20,2022-09-20,approved,user_reviewed_regional_banks_industry_proxy
TTWO,GAMR.US,2019-08-26,2019-09-20,approved,user_reviewed_video_games_industry_proxy
TWTR,SOCL.US,2019-08-01,2019-08-05,approved,user_reviewed_social_media_industry_proxy
UA,,2018-07-02,2018-07-10,excluded,user_reviewed_no_direct_historical_industry_etf
XOM,XLE.US,2023-01-05,2023-01-10,approved,user_reviewed_integrated_energy_industry_proxy
XRAY,IHI.US,2019-05-10,2019-05-15,approved,user_reviewed_medical_devices_industry_proxy
ADSK,IGV.US,2017-05-26,2017-05-26,approved,user_reviewed_software_industry_proxy
ALL,KBWP.US,2024-01-26,2024-01-26,approved,user_reviewed_property_casualty_insurance_industry_proxy
CAT,PAVE.US,2018-01-16,2018-01-16,approved,user_reviewed_infrastructure_industry_proxy
CHD,RHS.US,2018-12-17,2018-12-20,approved,user_reviewed_consumer_staples_industry_proxy
FMC,MOO.US,2017-08-07,2017-08-10,approved,user_reviewed_agribusiness_industry_proxy
HAL,OIH.US,2023-01-10,2023-01-20,approved,user_reviewed_oil_services_industry_proxy
MHK,XHB.US,2021-05-05,2021-05-05,approved,user_reviewed_homebuilding_products_industry_proxy
MLM,PAVE.US,2019-09-26,2019-09-26,approved,user_reviewed_infrastructure_industry_proxy
MSCI,IAI.US,2019-05-28,2019-07-22,approved,user_reviewed_investment_services_industry_proxy
RMD,IHI.US,2020-04-13,2020-04-20,approved,user_reviewed_medical_devices_industry_proxy
AIZ,IAK.US,2019-10-01,2019-11-01,approved,user_reviewed_insurance_industry_proxy
CTL,IYZ.US,2018-08-20,2018-08-20,approved,user_reviewed_telecom_services_industry_proxy
CTXS,IGV.US,2020-04-06,2020-04-06,approved,user_reviewed_software_industry_proxy
DHI,ITB.US,2017-12-05,2017-12-05,approved,user_reviewed_homebuilders_industry_proxy
DVA,IHF.US,2020-03-10,2020-04-01,approved,user_reviewed_healthcare_providers_industry_proxy
FL,XRT.US,2019-02-20,2019-02-20,approved,user_reviewed_retail_industry_proxy
HII,ITA.US,2022-09-12,2022-09-12,approved,user_reviewed_aerospace_defense_industry_proxy
IR,XHB.US,2018-01-10,2018-01-10,approved,user_reviewed_homebuilding_products_industry_proxy
MSI,XTL.US,2019-06-17,2019-06-20,approved,user_reviewed_communications_equipment_industry_proxy
MTD,IHI.US,2017-07-03,2017-07-03,approved,user_reviewed_medical_devices_industry_proxy
