execution_date,decision,ticker,rank_selected,reason
2016-01-26,invested,AMZN,1,rank_selection
2016-02-26,invested,TSN,1,rank_selection
2016-03-28,invested,TSN,1,rank_selection
2016-04-26,invested,TSN,1,rank_selection
2016-05-26,invested,EW,1,rank_selection
2016-06-27,invested,NVDA,1,rank_selection
2016-07-26,invested,NVDA,1,rank_selection
2016-08-26,invested,NVDA,1,rank_selection
2016-09-26,invested,NVDA,1,rank_selection
2016-10-26,invested,NVDA,1,rank_selection
2016-11-28,invested,NVDA,1,rank_selection
2016-12-27,invested,NVDA,1,rank_selection
2017-01-26,invested,NVDA,1,rank_selection
2017-02-27,invested,NVDA,1,rank_selection
2017-03-27,invested,NVDA,1,rank_selection
2017-04-26,invested,MU,1,rank_selection
2017-05-26,invested,MU,1,rank_selection
2017-06-26,invested,NVDA,1,rank_selection
2017-07-26,invested,NVDA,1,rank_selection
2017-08-28,invested,NVDA,1,rank_selection
2017-09-26,invested,NVDA,1,rank_selection
2017-10-26,invested,NVDA,1,rank_selection
2017-11-27,invested,ALGN,1,rank_selection
2017-12-26,invested,ALGN,1,rank_selection
2018-01-26,invested,ALGN,1,rank_selection
2018-02-26,invested,ALGN,1,rank_selection
2018-03-26,invested,MU,3,rank_selection
2018-04-26,invested,NFLX,1,rank_selection
2018-05-29,invested,NFLX,2,rank_selection
2018-06-26,invested,NFLX,1,rank_selection
2018-07-26,invested,GWW,1,rank_selection
2018-08-27,invested,HFC,1,rank_selection
2018-09-26,invested,ABMD,1,rank_selection
2018-10-26,invested,AAP,1,rank_selection
2018-11-26,invested,AAP,1,rank_selection
2018-12-26,invested,AES,1,rank_selection
2019-01-28,invested,XLNX,1,rank_selection
2019-02-26,invested,XLNX,1,rank_selection
2019-03-26,invested,XLNX,1,rank_selection
2019-04-26,invested,AMD,1,rank_selection
2019-05-28,invested,AZO,2,rank_selection
2019-06-26,invested,BLL,1,rank_selection
2019-07-26,invested,BLL,2,rank_selection
2019-08-26,invested,BLL,1,rank_selection
2019-09-26,invested,MKTX,1,rank_selection
2019-10-28,invested,PHM,3,rank_selection
2019-11-26,invested,TGT,1,rank_selection
2019-12-26,invested,LRCX,1,rank_selection
2020-01-27,invested,AMD,1,rank_selection
2020-02-26,invested,AMD,1,rank_selection
2020-03-26,invested,ODFL,1,rank_selection
2020-04-27,invested,LDOS,3,rank_selection
2020-05-26,invested,FTNT,4,rank_selection
2020-06-26,invested,REGN,2,rank_selection
2020-07-27,invested,DXCM,1,rank_selection
2020-08-26,invested,CARR,3,rank_selection
2020-09-28,invested,NVDA,1,rank_selection
2020-10-26,invested,CARR,1,rank_selection
2020-11-27,invested,ETSY,1,rank_selection
2020-12-28,invested,ETSY,1,rank_selection
2021-01-26,invested,ETSY,1,rank_selection
2021-02-26,invested,TSLA,1,rank_selection
2021-03-26,invested,VIAC,2,rank_selection
2021-04-26,invested,FCX,1,rank_selection
2021-05-26,invested,FCX,1,rank_selection
2021-06-28,invested,GNRC,2,rank_selection
2021-07-26,invested,SIVB,1,rank_selection
2021-08-26,invested,DVN,1,rank_selection
2021-09-27,invested,MRNA,1,rank_selection
2021-10-26,invested,MRNA,1,rank_selection
2021-11-26,invested,DVN,1,rank_selection
2021-12-27,invested,BBWI,1,rank_selection
2022-01-26,invested,DVN,1,rank_selection
2022-02-28,invested,DVN,1,rank_selection
2022-03-28,invested,DVN,1,rank_selection
2022-04-26,invested,DVN,1,rank_selection
2022-05-26,invested,DVN,1,rank_selection
2022-06-27,invested,MCK,1,rank_selection
2022-07-26,invested,DLTR,6,rank_selection
2022-08-26,invested,CEG,4,rank_selection
2022-09-26,invested,ENPH,2,rank_selection
2022-10-26,invested,MCK,1,rank_selection
2022-11-28,invested,CEG,1,rank_selection
2022-12-27,invested,CEG,1,rank_selection
2023-01-26,invested,MPC,1,rank_selection
2023-02-27,invested,STLD,1,rank_selection
2023-03-27,invested,FSLR,1,rank_selection
2023-04-26,invested,FSLR,1,rank_selection
2023-05-26,invested,FSLR,1,rank_selection
2023-06-26,invested,NVDA,1,rank_selection
2023-07-26,invested,NVDA,1,rank_selection
2023-08-28,invested,NVDA,1,rank_selection
2023-09-26,invested,GE,2,rank_selection
2023-10-26,invested,FICO,1,rank_selection
2023-11-27,invested,AVGO,2,rank_selection
2023-12-26,invested,META,1,rank_selection
2024-01-26,invested,META,1,rank_selection
2024-02-26,invested,META,2,rank_selection
2024-03-26,invested,NVDA,1,rank_selection
2024-04-26,invested,NVDA,1,rank_selection
2024-05-28,invested,SMCI,1,rank_selection
2024-06-26,invested,NVDA,1,rank_selection
2024-07-26,invested,VST,1,rank_selection
2024-08-26,invested,NRG,2,rank_selection
2024-09-26,invested,VST,1,rank_selection
2024-10-28,invested,KKR,1,rank_selection
2024-11-26,invested,PLTR,1,rank_selection
2024-12-26,invested,PLTR,1,rank_selection
2025-01-27,invested,VST,1,rank_selection
2025-02-26,invested,PLTR,1,rank_selection
2025-03-26,invested,GEV,2,rank_selection
2025-04-28,invested,HWM,2,rank_selection
2025-05-27,invested,HWM,2,rank_selection
2025-06-26,invested,HWM,2,rank_selection
2025-07-28,invested,GEV,2,rank_selection
2025-08-26,invested,GEV,2,rank_selection
2025-09-26,invested,PLTR,1,rank_selection
2025-10-27,invested,SNDK,1,rank_selection
2025-11-26,invested,SNDK,1,rank_selection
2025-12-26,invested,SNDK,1,rank_selection
2026-01-26,invested,SNDK,1,rank_selection
2026-02-26,invested,SNDK,1,rank_selection
2026-03-26,invested,SNDK,1,rank_selection
2026-04-27,invested,SNDK,1,rank_selection
2026-05-26,invested,SNDK,1,rank_selection
2026-06-26,invested,SNDK,1,rank_selection
